id,name,brief,desc
1,Pièce,Monnaie,Monnaie Normal
2,Gemme,Monnaie,La Monnaie la plus précieuse
3,EXP,EXP,À utiliser pour augmenter le niveau du joueur
4,Pièce de Guilde,Pièce de Guilde,À utiliser pour acheter des objets dans la Boutique de Guilde
5,EXP de Guilde,EXP de Guilde,À utiliser pour augmenter le niveau de la Guilde
6,Coupon,Coupon,À utiliser pour acheter des objets au Distributeur et dans la Boutique de la Chance
7,Liste de la Classe,Monnaie utilisée pour acheter des Filles,À utiliser pour échanger des Filles dans le Magasin de Transfert
8,VIP EXP,VIP EXP,
9,Jus d'EXP,Augmente l'EXP d'une Fille,À utiliser pour augmenter le niveau d'une Fille dans l'interface des attributs
10,Plateau Repas,Augmente le niveau max d'une Fille,À utiliser pour augmenter le niveau max d'une Fille dans l'interface des attributs
11,Cœur,Monnaie pour acheter Capsule d'Amitié,Envoyez et réclamez aux autres joueurs de la liste d'amis. À utiliser pour recruter une Fille dans Capsule d'Amitié
12,Points de la Capsule Œuf d'Or,Points de la Capsule Œuf d'Or,
13,Pass,Pass pour participer au Test,À utiliser pour faire un combat dans Test
14,Ciseau de Cristal,Matériaux,À utiliser pour améliorer un Cristal dans l'interface des équipements d'une Fille
15,Livre sacré,Devise du Sanctuaire,À utiliser pour acheter des objets dans la Boutique de Sanctuaire
16,Médaille d'Arène,Devise du Magasin de l'Arène,À utiliser pour échanger des objets dans le Magasin de l'Arène
17,Coffre de l'Arène,Le coffre sera ouvert automatiquement dans les courriers,"Obtient aléatoirement des Pièces, Jus d'EXP, Plateau Repas, Equipement Légendaire, Fragment de Filles, et autres objets rare"
18,Pain,Objet d'Endurance,À utiliser pour faire un Raid dans le Moulin de la Guilde
19,Dossier,Matériel d'échange de Fille,À utiliser pour échanger une Fille dans le Bureau d'Admission
20,Sceau,Objet de recrutement,À utiliser pour Recruter une Fille 4 étoiles (ou plus) ou obtenir des Fragments de Filles dans le Bureau d'Admission
22,Coffre d'Antiquité Rouge 1 étoile,Coffre d'Antiquité,Obtenez une Antiquité Rouge 1 étoile après achat
23,Coffre d'Antiquité Verte 1 étoile,Coffre d'Antiquité,Obtenez une Antiquité Verte 1 étoile après achat
24,Parchemin de Jobs,Parchemin de Jobs,À utiliser pour obtenir aléatoirement 1 Job de 1 à 4 étoiles
25,Parchemin de Jobs Avancé,Parchemin de Jobs,À utiliser pour obtenir aléatoirement 1 Job de 4 à 7 étoiles
26,Biscuit du Serviteur,Matériel du Serviteur,"À utiliser pour adopter, entraîner et faire évoluer les Serviteurs"
27,Biscuit Spiritueux,Matériel du Serviteur,À utiliser pour améliorer l'Aura de votre Serviteur
28,Sablier,Ticket d'Activité Extra-Scolaire,À utiliser pour participer aux activités extra-scolaire
29,Ticket Avancé du Distributeur,Ticket Avancé du Distributeur,À utiliser dans le Distributeur Avancé
30,頭像（無用）,Avatar Spécial,填充
31,Matériaux de Construction,Matériaux de Construction,À utiliser pour construire
32,戰姬置換材料（無用）,Matériaux d'Echange de Fille,À utiliser pour remplacer une Fille 10 étoiles
33,Pièce de Capsule Normale,Objet de recrutement,À utiliser pour recruter une Fille dans la Capsule Normale
34,Ticket de l'Arène,Ticket de l'Arène,Ticket de l'Arène
35,Ticket du Distributeur,Ticket du Distributeur,À utiliser dans le Distributeur Normal
36,Jeton de Capsule Avancée,Objet de recrutement,À utiliser pour Recruter une Fille dans la Capsule Avancée
37,Cookies,Matériaux d'Echange,"Matériel Spécial, à utiliser pour obtenir des objets"
38,Gâteau de Lune,Matériaux d'Echange,"Matériel Spécial, à utiliser pour obtenir des objets"
39,Batterie Manuelle,Matériel d'Evenement,"Les Filles ont fabriquées les batteries à la main, elles n'ont pas été prudentes durant la fabrication. Utilisez-les pour faire des dégâts important contre les BOSS"
40,Énergie,Matériel d'Evènement,À utiliser pour bouger des pièces du puzzle dans l'événement Puzzle
41,Bonhomme de Neige,Matériel d'Evènement,Objet exclusif pouvant être utilisé pour obtenir des récompenses durant l'événement. L'objet ne peut plus être utilisé après la fin de l'événement. Utilisez-le donc durant la période de l'événement !
42,Chaussette de Noël,Matériel d'Evènement,Objet exclusif pouvant être utilisé pour obtenir des récompenses durant l'événement. L'objet ne peut plus être utilisé après la fin de l'événement. Utilisez-le donc durant la période de l'événement !
43,Paquet Cadeau,Coffre de Cadeau,Une boîte mystérieuse contenant 1 Cadeau Aléatoire et des Fragments de Cadeau
44,Fragment de Cadeau,Matériel de Cadeau,Fragments fabriqués à partir de cristaux mystérieux. Ils peuvent être obtenus dans des Paquet Cadeau et peuvent être utilisés comme des matériaux pour faire différentes sortes de cadeaux
45,Bague de Serment,Objet de Serment,Peut être utilisé dans Rendez-vous afin de faire un serment à une Fille lorsque la Faveur d'une Fille atteint 100
46,Feu d'Artifice du Nouvel An Chinois,Matériel d'Evenement,"Matériel Spécial, à utiliser pour obtenir des objets"
47,Diplôme,Matériel Spécial,À utiliser pour échanger et inverser une Fille au moins 10 étoiles
48,Ballon en Cœur,Matériaux d'Echange,"Matériel Spécial, à utiliser pour obtenir des objets"
49,Biscuit en forme d'Os,Matériel d'Evenement,À utiliser pour améliorer l'intimité du Serviteur Mystique
50,Lapin de Pâques,Matériel d'Evènement,"Matériel Spécial, à utiliser pour obtenir des objets"
51,Billet de Vote,Matériel d'Evènement,Objet exclusif pour voter dans Gagnez les Cœurs
52,Budget de Décoration,Matériel d'Evenement,"Objet utilisé pour aider les Filles à finir la mission de décoration, objet échangeable"
53,Coupon d'Orientation,Matériel d'Evènement,"Objet exclusif pour échanger des récompenses dans l'événement de Cadeaux de la Rentrée. L'échange sera fermé après la fin de l'événement, utilisez-le avant la fin de l'événement"
54,Carte d'Approvisionnement d'Equipement,Matériel d'Evènement,Echangeable durant l'événement pour obtenir des équipements rares
1001,Avatar Limité de la Première Bataille en Arène,Avatar Spécial,Avatar de récompense de l'Arène pour avoir terminé toutes les missions
1002,Avatar Solaire,Avatar Spécial,Avatar du Champion de l'Arène 3v3
1003,Avatar Lunaire,Avatar Spécial,Avatar du Finaliste de l'Arène 3v3
1004,Avatar d'Or,Avatar Spécial,Avatar d'Or de l'Arène 3v3
1005,Avatar Argent,Avatar Spécial,Avatar pour rang 4-10 Arène 3v3
1006,Avatar Bronze,Avatar Spécial,Avatar pour rang 11-20 Arène 3v3
1007,Avatar d'Halloween,Avatar Spécial,Avatar spécial pour Halloween. Finissez toutes les missions de l'Arène d'Halloween pour l'obtenir
1008,Avatar Puzzle Spécial,Avatar Spécial,Finissez l'événement Puzzle pour obtenir cet avatar
1009,Avatar Nouvel An,Avatar Spécial,Avatar Limité du nouvel an
1010,Avatar Limité Flocon de Neige,Avatar Spécial,Avatar de récompense de l'Arène pour avoir terminé toutes les missions
1013,Avatar Limité,Avatar Spécial,Avatar de récompense de l'Arène pour avoir terminé toutes les missions
1014,Avatar Limité du Nouvel An Chinois,Avatar Spécial,Avatar Spécial du Nouvel An Chinois
